epoch,train_loss,PLCC,SRCC,KRCC,RMSE,PLCC_raw,RMSE_raw,lr,epoch_time_sec
1,1.3808134675271897,0.4468218034136553,0.4238542772044075,0.2970057058788365,12.9506354172488294,0.4468218034136553,12.9506354172488294,0.0010000000000000,41.5877308783384763
2,1.3730851234423309,0.4500479922522113,0.4291537815456657,0.2997522738008786,12.8727755467368237,0.4500479922522113,12.8727755467368237,0.0010000000000000,41.7410427543696159
3,1.3520334103125884,0.4560418058594637,0.4347275199312002,0.3045252524473498,12.8249649709842259,0.4560418058594637,12.8249649709842259,0.0010000000000000,41.9825793277338803
4,1.3508606602378030,0.4605187469561842,0.4399554786329374,0.3097159679915320,12.7143133551824992,0.4605187469561842,12.7143133551824992,0.0010000000000000,41.6739480314281536
5,1.3421622003884224,0.4619059729096526,0.4416424101993976,0.3164000523352728,12.7086649493946808,0.4619059729096526,12.7086649493946808,0.0010000000000000,42.3023935503562782
6,1.3299840988002789,0.4691314688001285,0.4478836344375225,0.3191209781347485,12.6420748441769870,0.4691314688001285,12.6420748441769870,0.0010000000000000,43.0403098255928924
7,1.3199682411096867,0.4711938773115414,0.4535744582853843,0.3249616869576000,12.5198971760231466,0.4711938773115414,12.5198971760231466,0.0010000000000000,42.8657768496980083
8,1.3025600498277770,0.4733856303247624,0.4547514259476437,0.3270220196892969,12.4852015607199398,0.4733856303247624,12.4852015607199398,0.0010000000000000,42.2938452083661360
9,1.2973555868320499,0.4767863948083993,0.4601280715054440,0.3320969952278841,12.5005067971601189,0.4767863948083993,12.5005067971601189,0.0010000000000000,42.4445894970361550
10,1.2874972841616736,0.4822824458112102,0.4634529038543865,0.3360287693624253,12.3686796521771551,0.4822824458112102,12.3686796521771551,0.0010000000000000,42.8934067331122222
11,1.2816791818507907,0.4854458167871025,0.4690192773928001,0.3430263581335169,12.3500489139407659,0.4854458167871025,12.3500489139407659,0.0010000000000000,42.9519995077773800
12,1.2627272571714598,0.4870441781917234,0.4719755784768384,0.3447112685830588,12.3026010875963543,0.4870441781917234,12.3026010875963543,0.0010000000000000,41.8546973536852178
13,1.2607577949606033,0.4907470196604148,0.4771548542490229,0.3516695686657405,12.1757861100420222,0.4907470196604148,12.1757861100420222,0.0010000000000000,42.3542048441559089
14,1.2437707683054300,0.4933335448063262,0.4804937224281814,0.3544246625072834,12.1585113198794339,0.4933335448063262,12.1585113198794339,0.0010000000000000,42.2167187418968766
15,1.2358231575049934,0.4973673533075312,0.4858490423770401,0.3564552329737045,11.9852972316666033,0.4973673533075312,11.9852972316666033,0.0010000000000000,42.1470134982216891
